image_name,predicted_score
Plectorhinchus_gaterinus_J_1.png,1469.156
Colurodontis_paxmani_J_1.png,1433.56
Scorpaenodes_corallinus_A_1.png,1498.4568
Pogonoperca_punctata_A_2.png,1555.1201
Pomacanthus_maculosus_J_1.png,1905.8528
Paracheilinus_nursalim_A_2.png,1705.1724
Bodianus_pulchellus_A_2.png,1586.9917
Ophthalmolepis_lineolatus_J_1.png,1552.1382
Chlorurus_perspicillatus_M_1.png,1660.9757
Inermia_vittata_A_1.png,1178.5135
Pogonoperca_punctata_A_1.png,1565.0872
Canthigaster_compressa_A_2.png,1515.558
Eucinostomus_melanopterus_A_1.png,1193.1586
Calamus_penna_A_1.png,1299.2197
Centropomus_undecimalis_A_1.png,1279.2706
Naucrates_ductor_A_2.png,1378.3276
Tylosurus_crocodilus_crocodilus_A_2.png,1174.5464
Morwong_ephippium_A_1.png,1494.0071
Thyrsites_atun_A_2_Langlois22.png,1204.2747
Abudefduf_sparoides_2_Langlois22.png,1336.3162
Eucinostomus_gula_A_1.png,1211.3457
Chelmon_muelleri_A_2.png,1681.3899
Ablennes_hians_A_1.png,1211.3555
Acanthopagrus_palmaris_J_1.png,1340.4023
Diagramma_pictum_J_1.png,1577.9478
Ophthalmolepis_lineolatus_F_1.png,1452.2654
Plectorhinchus_schotaf_J_1.png,1209.7197
Suezichthys_devisi_J_1_Langlois22.png,1421.7522
Leptojulis_chrysotaenia_J_1.png,1281.5443
Pomacentrus_magniseptus_A_1.png,1574.206
Gymnocranius_superciliosus_A_1.png,1198.9939
Genicanthus_melanospilos_F_1.png,1526.8799
Chaetodon_lunula_A_1_Langlois22.png,1855.2512
Scorpaenodes_littoralis_J_1.png,1498.239
Pomacanthus_maculosus_A_3.png,1629.0326
Centrolabrus_trutta_A_1.png,1377.7681
Epinephelus_octofasciatus_A_1.png,1445.9436
Scolopsis_margaritifer_J_1.png,1341.4801
Sectator_ocyurus_A_1.png,1318.1034
Scarus_persicus_M_1.png,1470.6191
Myripristis_botche_A_1.png,1428.745
Myripristis_botche_A_2.png,1405.6696
Parapercis_hexophtalma_male_200.png,1321.7334
Monacanthus_ciliatus_J_1.png,1384.3257
Aeoliscus_strigatus_A_2.png,1359.493
Chromis_kennensis_A_2.png,1361.9097
Pelates_sexlineatus_J_1.png,1312.985
Naso_lopezi_A_2.png,1538.8911
Hyporhamphus_dussumieri_A_1.png,1279.897
Cirrhilabrus_temminckii_F_1_Langlois22.png,1572.6267
Parioglossus_philippinus_A_1.png,1386.414
Acanthurus_tractus_A_1.png,1560.9338
Belone_belone_A_1_Langlois22.png,1184.571
Seriolella_brama_A_1_Langlois22.png,1162.3765
Naso_tuberosus_A_1.png,1145.0566
Myripristis_amaena_A_2_Langlois22.png,1459.5435
Parma_bicolor_A_1_Langlois22.png,1497.3453
Corvula_batabana_A_2.png,1291.9224
Stegastes_marginatus_A_1.png,1400.9619
Scarus_hypselopterus_M_1.png,1561.4448
Gerres_equulus_A_1_Langlois22.png,1170.3129
Acanthocybium_solandri_A_1.png,1188.1609
Corvula_batabana_A_1.png,1325.7639
Parioglossus_interruptus_A_1.png,1295.775
Pogonoperca_punctata_J_1.png,1628.1697
Naso_lopezi_A_3.png,1597.0183
Pseudocaranx_cheilio_A_1.png,1356.1311
