"","country","site_code","latitude","longitude"
"336","Australia","GBR146",-20.06494,148.92328
"338","Australia","GBR147",-20.05117,148.89869
"340","Australia","WA58",-28.18611,114.23146
"341","Australia","NMP18",-21.91842,113.95551
"342","Australia","WA57",-28.1924,114.24413
"343","Australia","NMP23",-21.97653,113.91861
"345","Australia","WA56",-28.19783,114.2548
"346","Australia","NMP15",-21.90414,113.94328
"347","Australia","WA54",-28.47336,113.77563
"349","Australia","WA55",-28.46051,113.77258
"350","Australia","WA53",-28.47634,113.77235
"352","Australia","NMP-B3",-21.82729,114.1801
"353","Australia","NMP-B4",-21.8559,114.16763
"354","Australia","NMP-B5",-21.86971,114.15813
"355","Australia","WA72",-20.5752,116.5696
"357","Australia","WA80",-20.52588,116.65978
"359","Australia","WA76",-20.55362,116.63464
"361","Australia","WA65",-20.62176,116.50736
"363","Australia","WA66",-20.6195,116.51852
"365","Australia","WA73",-20.57468,116.5822
"368","Australia","WA70",-20.58458,116.53283
"370","Australia","WA69",-20.60681,116.59533
"372","Australia","WA67",-20.61184,116.46413
"374","Australia","WA68",-20.60872,116.46312
"376","Australia","WA78",-20.543,116.53068
"378","Australia","WA79",-20.53661,116.53227
"380","Australia","WA77",-20.5492,116.63982
"382","Australia","WA75",-20.56935,116.61321
"384","Australia","WA71",-20.57522,116.54207
"387","Australia","WA74",-20.57385,116.54156
"389","Australia","WA87",-16.39654,123.03509
"393","Australia","WA86",-16.41926,123.0338
"394","Australia","WA83",-16.43598,123.05123
"396","Australia","WA85",-16.43073,123.06852
"398","Australia","WA84",-16.43131,123.08899
"400","Australia","NMP1",-23.11234,113.75042
"401","Australia","NMP10",-23.21313,113.76296
"403","Australia","NMP11",-23.20838,113.76328
"405","Australia","NMP12",-23.32164,113.78224
"406","Australia","NMP13",-23.17989,113.76169
"407","Australia","NMP14",-23.17758,113.76397
"408","Australia","NMP16",-21.64135,114.35673
"410","Australia","NMP17",-21.66711,114.33362
"412","Australia","NMP19",-23.09197,113.73966
"414","Australia","NMP2",-23.12142,113.75562
"415","Australia","NMP20",-23.04473,113.81843
"417","Australia","NMP6",-23.16108,113.75875
"419","Australia","NMP7",-23.16489,113.76611
"420","Australia","NMP8",-23.17642,113.76097
"421","Australia","NMP9",-23.12627,113.76158
"422","Australia","NMP-S1",-22.86905,113.76443
"424","Australia","NMP-S2",-22.92875,113.77937
"426","Australia","NMP-S3",-23.12872,113.75232
"428","Australia","NMP-S4",-23.33246,113.77923
"429","Australia","NWS109",-20.29024,118.48154
"430","Australia","NWS108",-20.21246,118.52584
"431","Australia","NMP21",-23.14221,113.76709
"432","Australia","NMP22",-22.09786,113.88472
"433","Australia","WA46",-28.89196,114.00962
"435","Australia","WA48",-28.85305,114.0132
"438","Australia","WA47",-28.85354,114.01087
"440","Australia","WA51",-28.67508,113.7572
"442","Australia","WA52",-28.67135,113.84345
"448","Australia","WA49",-28.71898,113.77761
"451","Australia","WA50",-28.70359,113.82932
"453","Australia","WA62",-26.12171,113.18267
"454","Australia","WA60",-26.14294,113.16653
