"id","site_code","latitude","longitude","country","ecoregion","realm","year","depth","median_5year_analysed_sst","median_5year_chl","median_5year_degree_heating_week","median_5year_ph","median_5year_so_glor","median_1year_degree_heating_week","median_7days_degree_heating_week","q95_5year_degree_heating_week","median_7days_chl","Back_Reef_Slope_500m","coral_algae_500m","Deep_Lagoon_500m","Inner_Reef_Flat_500m","Microalgal_Mats_500m","Patch_Reefs_500m","Plateau_500m","Reef_Crest_500m","Reef_Slope_500m","Rock_500m","Rubble_500m","Sand_500m","Seagrass_500m","Sheltered_Reef_Slope_500m","Terrestrial_Reef_Flat_500m","coral","Sand","other_sessile_invert","Rock","coralline_algae","coral_rubble","gdp","gravity","hdi","marine_ecosystem_dependency","natural_ressource_rent","neartt"
"BOCAS15_2023-10-20","BOCAS15",9.3,-82.29,"Panama","Southwestern Caribbean","Tropical Atlantic",2023,7.6,28.7227631578947,0.0729915682950021,0.430251206780805,8.0128345489502,35.3692188262939,0.847694397782801,1.17660525087544,10.1600855263158,0.127686742322688,0.724972939706984,8.63946765259682,0,0.672791259658127,0,0,0,0,0,0,0,0.396981045586793,1.39789558722304,0,1.43798854771711,0.469547223969853,0.246707920700572,0.299463292051289,0.151442325635993,0.241670757241851,0.215274727549133,6.00307946868492,2.12030676860899,0.7481875,0.0699203139805584,0.116306880930066,0.623236746616101
"BOCAS15_2023-10-27","BOCAS15",9.3,-82.29,"Panama","Southwestern Caribbean","Tropical Atlantic",2023,8.1,28.7249342105263,0.0729915682950021,0.434789440718621,8.0128345489502,35.3592338562012,0.847694397782801,1.23073958626086,10.2520328947368,0.100672070297869,0.724972939706984,8.63946765259682,0,0.672791259658127,0,0,0,0,0,0,0,0.396981045586793,1.39789558722304,0,1.43798854771711,0.467620353944548,0.247470369262409,0.30098990796713,0.150352058947981,0.247418546407421,0.215269088062419,6.00307946868492,2.12030676860899,0.7481875,0.0699203139805584,0.116306880930066,0.623236746616101
"BOCAS16_2023-10-24","BOCAS16",9.24,-82.11,"Panama","Southwestern Caribbean","Tropical Atlantic",2023,9.4,28.7227631578947,0.0592619883030647,0.43112030477477,8.01339781284332,35.4867367744446,0.847694397782801,1.21060361814818,10.2433289473684,0.0861432703762742,1.60964105354551,23.4344882714728,0.529379763414998,0,0,0,0.232548186749224,0,0,0,0,0.238195907052858,0.419347418630413,0,0,0.517737185444085,0.24429347543631,0.254910961835144,0.152677686996705,0.261722916561841,0.188479991536878,0,1.96321707879479,0.7481875,0.0699203139805584,0.116306880930066,0.62715615502723
"BOCAS17_2023-10-24","BOCAS17",9.25,-82.13,"Panama","Southwestern Caribbean","Tropical Atlantic",2023,7.5,28.7227631578947,0.0729915682950021,0.43112030477477,8.0128345489502,35.3617534637451,0.847694397782801,1.21060361814818,10.2433289473684,0.0963826390897901,1.51056387921667,54.2235443772137,0.864881593914336,0.883090921326599,0,0,0.981246181252792,0,0,0,0,0.632895537823887,1.55087650912981,0,1.31630325670543,0.533048830486849,0.228408138439371,0.258748560500471,0.149931720080169,0.269069365639538,0.214187386320807,0,2.05091406862743,0.7481875,0.0699203139805584,0.116306880930066,0.516676572805326
"ETP1_2011-04-03","ETP1",8.77213,-79.53417,"Panama","Panama Bight","Tropical Eastern Pacific",2011,6.25,28.1213,0.121591469675953,0,8.04113578796387,29.8424609502157,0.0598662204109395,0,1.1978,0.36802742638999,1.09397306067765,15.9596355428647,0,0,0,0,0,0,0.982043877109308,0.859834115047136,0.172555096372762,0.0870468648971172,0.00270655591352329,0.0013554028056049,0.398468391070576,0.0671493437708461,0.427252992389996,0.144391527970105,0,0.463166722021473,0,5.09423298534487,2.75652867335802,0.7481875,0.0699203139805584,0.116306880930066,0.301029995663981
"FIJI1_2024-08-07","FIJI1",-16.73,179.33,"Fiji","Fiji Islands","Central Indo-Pacific",2024,6.5,27.9377884615385,0.041996867092143,0,8.05161953340769,34.6761903706233,0,0,6.23692307692308,0.0428770814339861,0,8.88210128850482,0,0,0,0,0,0,0,0.629195865384826,0,0,0.375204052437164,0.890106443549596,0.865330339103927,0.873204089742774,0.156560938328723,0.181916721277824,0.156515319527,0.298882161713654,0.139193449181548,0,1.85126726215089,0.69890625,0.12850524432106,0.363780856775109,0.301029995663981
"FIJI10_2024-08-12","FIJI10",-16.82,179.28,"Fiji","Fiji Islands","Central Indo-Pacific",2024,2.75,27.9377884615385,0.0420123904332884,0,8.05172858783801,34.6700561319351,0,0,6.23692307692308,0.051417799216421,0.468223824970568,7.10953036145751,0.25669551547404,1.61264710307763,0.874169844653621,0,0,0,0,0.955704860468319,1.61578738659625,1.29670952289668,0,0.62779891411165,0,0.719046789813383,0.223093825484601,0.17207820928586,0.197340434908197,0.288121009533191,0.196452572496628,0,1.82749654433828,0.69890625,0.12850524432106,0.363780856775109,0.59468159397909
"FIJI11_2024-08-13","FIJI11",-16.81,179.29,"Fiji","Fiji Islands","Central Indo-Pacific",2024,3,27.9377884615385,0.0420184907120097,0,8.05171075795889,34.6697806063652,0,0,6.23692307692308,0.0519388309014331,0,8.66061747963312,0,0,0,0,0.0601206871445106,0.378411895361892,0,0.200526967589824,0,0,0.187028475532996,0.652432125499914,0,0.865573372207588,0.15952836859723,0.172400781735808,0.142358328126197,0.309142770247361,0.151023549346056,0,2.3372719640753,0.69890625,0.12850524432106,0.363780856775109,0.301029995663981
"FIJI14_2024-08-16","FIJI14",-16.69,-179.9,"Fiji","Fiji Islands","Central Indo-Pacific",2024,5.5,27.9556989247312,0.0383322125484737,0,8.05078911781311,34.7274742126465,0,0,4.87514516129032,0.0290186454339931,0.220609024206392,2.86793411847016,0.594203286893216,0,0.00334369650041144,0,0,0.0448286790513366,0.767550054994054,0.0142194013165358,0,0,0,0.371995491971974,0,0.617009181913705,0.203446682256226,0.148139226708805,0.209928392188719,0.34204834786953,0.14176273086929,0,1.86412641104484,0.69890625,0.12850524432106,0.363780856775109,0.587692463715917
"FIJI2_2024-08-07","FIJI2",-16.78,179.32,"Fiji","Fiji Islands","Central Indo-Pacific",2024,6,27.9377884615385,0.0419945348666144,0,8.05165011633635,34.6709195177555,0,0,6.23692307692308,0.0437930521244193,0,0.470619834536426,0.0794877395206236,0,0,0,0,0,0,0,0,0,0.0496916935277757,0.143325532342544,0,0.864846709410044,0.16167881944969,0.181221829186311,0.154704656824954,0.310978794501055,0.134955140830929,0,2.63179577612905,0.69890625,0.12850524432106,0.363780856775109,0.390302572801643
